ID,Espèce,Chemin d'accès,Classe,Image_nettoyee
2m0ykt7,Ours,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ours\2m0ykt7.jpg,7,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ours\2m0ykt7.jpg
Dog-Tracks-1,Chien,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Chien\Dog-Tracks-1.jpg,2,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Chien\Dog-Tracks-1.jpg
wolf-tracks-in-the-snow-B19TE0,Loup,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Loup\wolf-tracks-in-the-snow-B19TE0.jpg,6,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Loup\wolf-tracks-in-the-snow-B19TE0.jpg
36306273-une-chiens-piste-dans-le-sable-une-chien-a-ete-en-marchant-le-long-de-le-rivage-photo4,Chien,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Chien\36306273-une-chiens-piste-dans-le-sable-une-chien-a-ete-en-marchant-le-long-de-le-rivage-photo4.jpg,2,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Chien\36306273-une-chiens-piste-dans-le-sable-une-chien-a-ete-en-marchant-le-long-de-le-rivage-photo4.jpg
360_F_138671249_gpPysfcRCKgAzHYVzxHMhUgDR0Xwu2LQ,Ecureuil,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ecureuil\360_F_138671249_gpPysfcRCKgAzHYVzxHMhUgDR0Xwu2LQ.webp,4,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ecureuil\360_F_138671249_gpPysfcRCKgAzHYVzxHMhUgDR0Xwu2LQ.jpg
Beaver-Tracks-(5),Castor,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Castor\Beaver-Tracks-(5).jpg,0,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Castor\Beaver-Tracks-(5).jpg
Raccoon-Tracks-3,Raton laveur,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Raton laveur\Raccoon-Tracks-3.jpg,10,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Raton laveur\Raccoon-Tracks-3.jpg
doriana-popa-oMjgEtNy8Nk-unsplash,Chat,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Chat\doriana-popa-oMjgEtNy8Nk-unsplash.jpg,1,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Chat\doriana-popa-oMjgEtNy8Nk-unsplash.jpg
2c18xx8,Renard,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Renard\2c18xx8.jpg,11,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Renard\2c18xx8.jpg
original_1,Loup,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Loup\original_1.jpeg,6,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Loup\original_1.jpg
original (5),Chien,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Chien\original (5).jpeg,2,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Chien\original (5).jpg
20140503-1626422,Castor,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Castor\20140503-1626422.jpg,0,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Castor\20140503-1626422.jpg
stock-photo-closeup-of-traces-of-a-red-squirrel-sciurus-vulgaris-in-fresh-snow-1491490754,Ecureuil,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ecureuil\stock-photo-closeup-of-traces-of-a-red-squirrel-sciurus-vulgaris-in-fresh-snow-1491490754.jpg,4,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ecureuil\stock-photo-closeup-of-traces-of-a-red-squirrel-sciurus-vulgaris-in-fresh-snow-1491490754.jpg
original (1),Ours,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ours\original (1).jpeg,7,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ours\original (1).jpg
eakfwy,Ours,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ours\eakfwy.jpg,7,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ours\eakfwy.jpg
stock-photo-rabbit-tracks-in-new-snow-2400460337,Lapin,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Lapin\stock-photo-rabbit-tracks-in-new-snow-2400460337.jpg,5,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Lapin\stock-photo-rabbit-tracks-in-new-snow-2400460337.jpg
original (1),Puma,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Puma\original (1).jpg,8,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Puma\original (1).jpg
f546rw,Ours,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ours\f546rw.jpg,7,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ours\f546rw.jpg
wolf-tracks-canning-river-APET0T,Loup,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Loup\wolf-tracks-canning-river-APET0T.jpg,6,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Loup\wolf-tracks-canning-river-APET0T.jpg
Beaver-Tracks-4(2),Castor,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Castor\Beaver-Tracks-4(2).jpg,0,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Castor\Beaver-Tracks-4(2).jpg
stock-photo-rabbit-paw-print-in-fresh-snow-2254760939,Lapin,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Lapin\stock-photo-rabbit-paw-print-in-fresh-snow-2254760939.jpg,5,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Lapin\stock-photo-rabbit-paw-print-in-fresh-snow-2254760939.jpg
69e3d906758229a6a3066b4242d6b279,Chat,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Chat\69e3d906758229a6a3066b4242d6b279.jpg,1,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Chat\69e3d906758229a6a3066b4242d6b279.jpg
beaver-footprint-mud-eurasian-european-260nw-1412938724,Castor,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Castor\beaver-footprint-mud-eurasian-european-260nw-1412938724.webp,0,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Castor\beaver-footprint-mud-eurasian-european-260nw-1412938724.jpg
a95wyp,Ours,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ours\a95wyp.jpg,7,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ours\a95wyp.jpg
le-loup-titres,Loup,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Loup\le-loup-titres.jpg,6,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Loup\le-loup-titres.jpg
close-up-of-gray-wolf-grey-wolf-canis-lupus-footprint-in-sand-showing-HGGXKC,Loup,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Loup\close-up-of-gray-wolf-grey-wolf-canis-lupus-footprint-in-sand-showing-HGGXKC.jpg,6,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Loup\close-up-of-gray-wolf-grey-wolf-canis-lupus-footprint-in-sand-showing-HGGXKC.jpg
original 7,Castor,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Castor\original 7.jpg,0,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Castor\original 7.jpg
rbjyn4,Castor,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Castor\rbjyn4.jpg,0,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Castor\rbjyn4.jpg
2c4k1y6,Chien,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Chien\2c4k1y6.jpg,2,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Chien\2c4k1y6.jpg
Cottontail-Tracks-(5),Lapin,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Lapin\Cottontail-Tracks-(5).jpg,5,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Lapin\Cottontail-Tracks-(5).jpg
original_9,Ecureuil,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ecureuil\original_9.jpg,4,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ecureuil\original_9.jpg
footprints-rabbit-hare-on-fresh-600w-2393623471,Lapin,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Lapin\footprints-rabbit-hare-on-fresh-600w-2393623471.jpg,5,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Lapin\footprints-rabbit-hare-on-fresh-600w-2393623471.jpg
Black-Bear-Tracks-8,Ours,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ours\Black-Bear-Tracks-8.jpg,7,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ours\Black-Bear-Tracks-8.jpg
dh0345,Chien,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Chien\dh0345.jpg,2,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Chien\dh0345.jpg
2br7w26,Coyote,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Coyote\2br7w26.jpg,3,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Coyote\2br7w26.jpg
rabbit-tracks-20161186,Lapin,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Lapin\rabbit-tracks-20161186.jpg,5,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Lapin\rabbit-tracks-20161186.jpg
pknnp8,Ours,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ours\pknnp8.jpg,7,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ours\pknnp8.jpg
240_F_410081871_Qkw4WAOzeCnXmo7DsfuOeoA6GeTWlZW1,Ecureuil,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ecureuil\240_F_410081871_Qkw4WAOzeCnXmo7DsfuOeoA6GeTWlZW1.jpg,4,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ecureuil\240_F_410081871_Qkw4WAOzeCnXmo7DsfuOeoA6GeTWlZW1.jpg
2f4jp7w,Raton laveur,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Raton laveur\2f4jp7w.jpg,10,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Raton laveur\2f4jp7w.jpg
original (13),Puma,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Puma\original (13).jpg,8,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Puma\original (13).jpg
original (2),Raton laveur,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Raton laveur\original (2).jpeg,10,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Raton laveur\original (2).jpg
wolf-tracks-in-the-snow-GKE316,Loup,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Loup\wolf-tracks-in-the-snow-GKE316.jpg,6,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Loup\wolf-tracks-in-the-snow-GKE316.jpg
pb48y3,Ours,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ours\pb48y3.jpg,7,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ours\pb48y3.jpg
r3t1hw,Coyote,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Coyote\r3t1hw.jpg,3,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Coyote\r3t1hw.jpg
rabbit-tracks-snowing-oklahoma-ground-600w-2416203189,Lapin,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Lapin\rabbit-tracks-snowing-oklahoma-ground-600w-2416203189.jpg,5,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Lapin\rabbit-tracks-snowing-oklahoma-ground-600w-2416203189.jpg
original (7),Ours,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ours\original (7).jpg,7,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ours\original (7).jpg
California-Ground-Squirrel-Tracks-(2),Ecureuil,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ecureuil\California-Ground-Squirrel-Tracks-(2).jpg,4,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ecureuil\California-Ground-Squirrel-Tracks-(2).jpg
a86y86,Ours,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ours\a86y86.jpg,7,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ours\a86y86.jpg
chien (1),Chien,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Chien\chien (1).jpg,2,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Chien\chien (1).jpg
grey-wolf-tracks-in-the-snow-the-carpathian-mountains-poland-2HGCD2T,Loup,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Loup\grey-wolf-tracks-in-the-snow-the-carpathian-mountains-poland-2HGCD2T.jpg,6,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Loup\grey-wolf-tracks-in-the-snow-the-carpathian-mountains-poland-2HGCD2T.jpg
wolf-track-wilderness-prints-in-the-mud-of-howse-river-flats-banff-national-park-canadian-rocky-mountains-MHCCAH,Loup,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Loup\wolf-track-wilderness-prints-in-the-mud-of-howse-river-flats-banff-national-park-canadian-rocky-mountains-MHCCAH.jpg,6,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Loup\wolf-track-wilderness-prints-in-the-mud-of-howse-river-flats-banff-national-park-canadian-rocky-mountains-MHCCAH.jpg
90c57de367e0d3b1e84197bb6a146ce3,Chat,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Chat\90c57de367e0d3b1e84197bb6a146ce3.jpg,1,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Chat\90c57de367e0d3b1e84197bb6a146ce3.jpg
13678778-en-haut-d-une-empreinte-de-patte-de-chat-sur-un-chemin-en-beton-photo.JPG4,Chat,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Chat\13678778-en-haut-d-une-empreinte-de-patte-de-chat-sur-un-chemin-en-beton-photo.JPG4.jpg,1,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Chat\13678778-en-haut-d-une-empreinte-de-patte-de-chat-sur-un-chemin-en-beton-photo.JPG4.jpg
north-america-united-states-alaska-spring-wildlife-wolf-canis-lupus-wolf-tracks-in-snow-2H3BPHN,Loup,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Loup\north-america-united-states-alaska-spring-wildlife-wolf-canis-lupus-wolf-tracks-in-snow-2H3BPHN.jpg,6,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Loup\north-america-united-states-alaska-spring-wildlife-wolf-canis-lupus-wolf-tracks-in-snow-2H3BPHN.jpg
original (11),Puma,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Puma\original (11).jpg,8,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Puma\original (11).jpg
IM001940,Chat,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Chat\IM001940.jpg,1,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Chat\IM001940.jpg
original (5),Chien,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Chien\original (5).jpg,2,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Chien\original (5).jpg
original,Chat,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Chat\original.jpeg,1,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Chat\original.jpg
f291h1,Renard,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Renard\f291h1.jpg,11,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Renard\f291h1.jpg
stock-photo-squirrel-footprints-on-the-white-snow-2397155303,Ecureuil,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ecureuil\stock-photo-squirrel-footprints-on-the-white-snow-2397155303.jpg,4,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ecureuil\stock-photo-squirrel-footprints-on-the-white-snow-2397155303.jpg
original (3),Chien,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Chien\original (3).jpg,2,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Chien\original (3).jpg
Raccoon-Tracks-8,Raton laveur,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Raton laveur\Raccoon-Tracks-8.jpg,10,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Raton laveur\Raccoon-Tracks-8.jpg
wolf-tracks-in-the-snow-S01JWN,Loup,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Loup\wolf-tracks-in-the-snow-S01JWN.jpg,6,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Loup\wolf-tracks-in-the-snow-S01JWN.jpg
14516496-traces-de-chiens-dans-la-neige-photo4,Chien,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Chien\14516496-traces-de-chiens-dans-la-neige-photo4.jpg,2,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Chien\14516496-traces-de-chiens-dans-la-neige-photo4.jpg
rabbit-tracks-fluffy-snow-close-up-1671963477,Lapin,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Lapin\rabbit-tracks-fluffy-snow-close-up-1671963477.jpg,5,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Lapin\rabbit-tracks-fluffy-snow-close-up-1671963477.jpg
original (6),Ours,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ours\original (6).jpg,7,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ours\original (6).jpg
fy6myh,Raton laveur,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Raton laveur\fy6myh.jpg,10,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Raton laveur\fy6myh.jpg
s2n66r,Raton laveur,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Raton laveur\s2n66r.jpg,10,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Raton laveur\s2n66r.jpg
b1cf6e,Raton laveur,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Raton laveur\b1cf6e.jpg,10,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Raton laveur\b1cf6e.jpg
s0720w,Raton laveur,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Raton laveur\s0720w.jpg,10,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Raton laveur\s0720w.jpg
istockphoto-1291656709-1024x1024,Loup,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Loup\istockphoto-1291656709-1024x1024.jpg,6,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Loup\istockphoto-1291656709-1024x1024.jpg
Black-Bear-Tracks,Ours,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ours\Black-Bear-Tracks.jpg,7,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ours\Black-Bear-Tracks.jpg
rbjymp,Castor,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Castor\rbjymp.jpg,0,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Castor\rbjymp.jpg
2eag0wa,Ecureuil,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ecureuil\2eag0wa.jpg,4,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ecureuil\2eag0wa.jpg
by5k36,Chien,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Chien\by5k36.jpg,2,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Chien\by5k36.jpg
rjj1bb,Raton laveur,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Raton laveur\rjj1bb.jpg,10,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Raton laveur\rjj1bb.jpg
lone-wolf-tracks-in-a-grassland-near-the-yaak-river-in-winter-yaak-valley-northwest-montana-photo-by-randy-beacham-2ERHJMX,Loup,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Loup\lone-wolf-tracks-in-a-grassland-near-the-yaak-river-in-winter-yaak-valley-northwest-montana-photo-by-randy-beacham-2ERHJMX.jpg,6,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Loup\lone-wolf-tracks-in-a-grassland-near-the-yaak-river-in-winter-yaak-valley-northwest-montana-photo-by-randy-beacham-2ERHJMX.jpg
Gray-Fox-Tracks-4,Renard,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Renard\Gray-Fox-Tracks-4.jpg,11,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Renard\Gray-Fox-Tracks-4.jpg
original (4),Raton laveur,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Raton laveur\original (4).jpg,10,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Raton laveur\original (4).jpg
36cd4d6e57641b786bd90cedd76be55c,Chat,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Chat\36cd4d6e57641b786bd90cedd76be55c.jpg,1,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Chat\36cd4d6e57641b786bd90cedd76be55c.jpg
2f5twfb,Renard,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Renard\2f5twfb.jpg,11,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Renard\2f5twfb.jpg
original (1),Chien,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Chien\original (1).jpeg,2,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Chien\original (1).jpg
dog-footprint-on-sand-260nw-150072893,Coyote,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Coyote\dog-footprint-on-sand-260nw-150072893.webp,3,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Coyote\dog-footprint-on-sand-260nw-150072893.jpg
gray-wolf-canis-lupus-tracks-in-sand-in-glacier-bay-national-park-AJTBYR,Loup,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Loup\gray-wolf-canis-lupus-tracks-in-sand-in-glacier-bay-national-park-AJTBYR.jpg,6,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Loup\gray-wolf-canis-lupus-tracks-in-sand-in-glacier-bay-national-park-AJTBYR.jpg
360_F_254619733_24kiIcx6R7zzJqXhakPps4cfOWZjjkqc2,Ecureuil,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ecureuil\360_F_254619733_24kiIcx6R7zzJqXhakPps4cfOWZjjkqc2.jpg,4,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ecureuil\360_F_254619733_24kiIcx6R7zzJqXhakPps4cfOWZjjkqc2.jpg
wolf-tracks-left-on-muddy-ground-in-the-subarctic-in-manitoba-canada-the-tracks-have-been-frozen-PKNNNF,Loup,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Loup\wolf-tracks-left-on-muddy-ground-in-the-subarctic-in-manitoba-canada-the-tracks-have-been-frozen-PKNNNF.jpg,6,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Loup\wolf-tracks-left-on-muddy-ground-in-the-subarctic-in-manitoba-canada-the-tracks-have-been-frozen-PKNNNF.jpg
wolf-tracks-in-yukon-canada-2T5HX0A,Loup,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Loup\wolf-tracks-in-yukon-canada-2T5HX0A.jpg,6,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Loup\wolf-tracks-in-yukon-canada-2T5HX0A.jpg
m409xd,Raton laveur,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Raton laveur\m409xd.jpg,10,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Raton laveur\m409xd.jpg
track_-_snow-1-400x400,Ours,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ours\track_-_snow-1-400x400.jpg,7,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ours\track_-_snow-1-400x400.jpg
closeup-traces-red-squirrel-sciurus-260nw-1491490754,Ecureuil,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ecureuil\closeup-traces-red-squirrel-sciurus-260nw-1491490754.jpg,4,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ecureuil\closeup-traces-red-squirrel-sciurus-260nw-1491490754.jpg
Coyote-Tracks-5,Coyote,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Coyote\Coyote-Tracks-5.jpg,3,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Coyote\Coyote-Tracks-5.jpg
rf5ny4,Raton laveur,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Raton laveur\rf5ny4.jpg,10,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Raton laveur\rf5ny4.jpg
c7mjcj,Chien,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Chien\c7mjcj.jpg,2,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Chien\c7mjcj.jpg
original (3),Raton laveur,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Raton laveur\original (3).jpg,10,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Raton laveur\original (3).jpg
original (7),Chat,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Chat\original (7).jpg,1,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Chat\original (7).jpg
Cottontail-Tracks-(10),Lapin,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Lapin\Cottontail-Tracks-(10).jpg,5,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Lapin\Cottontail-Tracks-(10).jpg
bgdwhf,Renard,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Renard\bgdwhf.jpg,11,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Renard\bgdwhf.jpg
ffetnk,Ours,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Ours\ffetnk.jpg,7,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Ours\ffetnk.jpg
bwxf6a,Renard,C:\cours_b3\mspr-ia\WildLens_MSPR\Mammiferes\Renard\bwxf6a.jpg,11,C:\cours_b3\mspr-ia\WildLens_MSPR\images_nettoyees\Renard\bwxf6a.jpg
